touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-11-26 20:27:00-05:00,2023,upper,3.9642336727047907,False,3.0,2.2000000000000455,2.2999999999999545,,2015.951342797952,-1.0
2023-11-07 06:39:00-05:00,2023,lower,-1.1484526621389732,False,1.0,1.7999999999999545,2.599999999999909,,1968.7486572020478,1.0
2023-11-21 08:24:00-05:00,2023,upper,2.5663987394874512,False,1.7999999999999545,2.099999999999909,2.7999999999999545,,1997.7176515408523,-1.0
2023-11-10 10:49:00-05:00,2023,lower,-1.4065574326791266,False,1.7000000000000455,6.5,6.599999999999909,,1944.5823484591474,1.0
2023-11-17 04:06:00-05:00,2023,upper,1.8316589326880715,False,0.8999999999998636,4.0,4.800000000000182,,1992.1016211672104,-1.0
2023-11-10 10:49:00-05:00,2023,lower,-1.4065574326791266,False,1.7000000000000455,6.5,6.599999999999909,,1944.2983788327897,1.0
2023-11-16 09:47:00-05:00,2023,upper,5.000932708269982,False,6.7999999999999545,3.5,9.599999999999909,,1985.093380431362,-1.0
2023-11-15 05:22:00-05:00,2023,upper,0.8318006583900692,False,0.7000000000000455,2.099999999999909,2.2999999999999545,,1976.7988871328553,-1.0
2023-11-14 08:32:00-05:00,2023,upper,-0.9654746877149354,False,2.3999999999998636,3.099999999999909,1.900000000000091,,1961.9669507049714,-1.0
2023-11-21 08:20:00-05:00,2023,upper,2.5663987394874512,False,1.7999999999999545,2.099999999999909,2.7999999999999545,,1997.1214395399222,-1.0
2023-11-17 04:08:00-05:00,2023,upper,1.8316589326880715,False,0.8999999999998636,4.0,4.800000000000182,,1992.9939919070073,-1.0
2023-11-21 09:30:00-05:00,2023,upper,2.483815628165478,False,2.5,4.7999999999999545,11.700000000000045,,2006.755857815504,-1.0
2023-11-26 20:26:00-05:00,2023,upper,3.9642336727047907,False,3.0,2.2000000000000455,2.2999999999999545,,2011.681227156685,-1.0
2023-11-20 22:54:00-05:00,2023,upper,1.2836879058445714,False,0.40000000000009095,2.3999999999998636,3.800000000000182,,1995.4589165907014,-1.0
2023-11-27 19:00:00-05:00,2023,upper,1.242427096522925,False,0.6000000000001364,1.900000000000091,1.900000000000091,,2029.7515868339967,-1.0
2023-11-27 19:00:00-05:00,2023,upper,1.242427096522925,False,0.6000000000001364,1.900000000000091,1.900000000000091,,2025.5093377930355,-1.0
2023-11-26 20:27:00-05:00,2023,upper,3.9642336727047907,False,3.0,2.2000000000000455,2.2999999999999545,,2015.095766695463,-1.0
2023-11-27 19:00:00-05:00,2023,upper,1.242427096522925,False,0.6000000000001364,1.900000000000091,1.900000000000091,,2023.9768706137104,-1.0
2023-11-27 19:00:00-05:00,2023,upper,1.242427096522925,False,0.6000000000001364,1.900000000000091,1.900000000000091,,2033.6522613646607,-1.0
2023-12-11 12:55:00-05:00,2023,lower,-2.104169248987379,False,1.900000000000091,4.800000000000182,4.5,,1991.6977386353394,1.0
2023-11-28 20:00:00-05:00,2023,upper,2.043630283209565,False,1.300000000000182,5.600000000000364,6.5,,2071.5146940157692,-1.0
2023-12-08 09:22:00-05:00,2023,lower,-3.7274562114395153,False,3.7999999999999545,17.59999999999991,17.59999999999991,,2023.1853059842304,1.0
2023-12-01 12:50:00-05:00,2023,upper,2.389786584694046,False,2.899999999999636,4.699999999999818,16.5,,2086.794003149161,-1.0
2023-12-04 10:37:00-05:00,2023,lower,-4.249056049647649,False,11.700000000000273,28.800000000000182,15.599999999999909,,2039.0559968508385,1.0
2023-12-01 12:13:00-05:00,2023,upper,1.5963707145886874,False,2.800000000000182,5.300000000000182,16.5,,2080.750609814055,-1.0
2023-12-05 10:37:00-05:00,2023,lower,-2.3210765847016814,False,4.5,10.700000000000045,14.900000000000091,,2031.4493901859444,1.0
2023-12-01 12:50:00-05:00,2023,upper,2.389786584694046,False,2.899999999999636,4.699999999999818,16.5,,2086.3726416134523,-1.0
2023-12-05 10:40:00-05:00,2023,lower,-2.6975456714706603,False,3.5,10.700000000000045,14.900000000000091,,2029.8773583865477,1.0
2023-12-27 10:37:00-05:00,2023,upper,3.3810301265764617,False,2.599999999999909,9.0,6.299999999999727,,2091.440108544214,-1.0
2023-12-04 10:37:00-05:00,2023,lower,-4.249056049647649,False,11.700000000000273,28.800000000000182,15.599999999999909,,2039.009891455786,1.0
2023-12-22 05:26:00-05:00,2023,upper,2.437409425796781,False,0.8000000000001819,1.699999999999818,3.199999999999818,,2068.513870799897,-1.0
2023-12-08 12:07:00-05:00,2023,lower,-2.4145725654425316,False,4.599999999999909,5.800000000000182,9.400000000000091,,2011.8861292001034,1.0
2023-12-22 06:39:00-05:00,2023,upper,1.838330566388228,False,2.0,7.100000000000364,4.0,,2074.93035736167,-1.0
2023-12-08 09:23:00-05:00,2023,lower,-3.7274562114395153,False,3.7999999999999545,17.59999999999991,17.59999999999991,,2021.0696426383302,1.0
